Creditability,Account_Balance,Duration_of_Credit_monthly,Payment_Status_of_Previous_Credit,Credit_Amount,Length_of_current_employment,Guarantors,Duration_in_Current_address,Age_years,Concurrent_Credits,No_of_Credits_at_this_Bank
198,1,Have Account,12,Paid_Up,2141,4,No,1,35,Other_Bank,1
199,1,Have Account,48,Some_Problems,3609,3,No,1,27,Dept_Stores,1
200,1,Have Account,30,Paid_Up,2333,5,No,2,30,No_credit,1
201,1,Have Account,28,Some_Problems,7824,2,Yes,4,40,No_credit,2
202,1,Have Account,18,Some_Problems,1445,4,No,4,49,No_credit,1
203,1,No Account,24,Paid_Up,7721,2,No,2,30,Other_Bank,1
204,1,No Account,21,Paid_Up,3763,4,Yes,2,24,Other_Bank,1
205,1,Have Account,18,Paid_Up,4439,5,Yes,1,33,No_credit,1
206,1,No Account,12,Paid_Up,1107,3,No,2,20,Other_Bank,1
207,1,Have Account,15,Paid_Up,1444,2,No,1,23,Other_Bank,1
208,1,Have Account,48,Some_Problems,12169,1,Yes,4,36,Other_Bank,1
209,1,Have Account,9,Paid_Up,2753,5,Yes,4,35,Other_Bank,1
210,1,Have Account,4,Paid_Up,1494,2,No,2,29,Other_Bank,1
211,1,No Account,24,Some_Problems,2828,3,No,4,22,Dept_Stores,1
212,1,No Account,24,Some_Problems,2483,3,No,4,22,Dept_Stores,1
213,1,Have Account,6,No_Problems,1299,3,No,1,74,Other_Bank,3
214,1,Have Account,9,Paid_Up,1549,2,No,2,35,Other_Bank,1
215,1,Have Account,10,Paid_Up,3949,2,Yes,1,37,Other_Bank,1
216,1,Have Account,10,Paid_Up,2901,2,No,4,31,Other_Bank,1
217,1,Have Account,6,Paid_Up,709,2,No,2,27,Other_Bank,1
218,1,No Account,47,Paid_Up,10722,2,No,1,35,Other_Bank,1
219,1,Have Account,10,Paid_Up,1287,5,Yes,2,45,Other_Bank,1
220,1,No Account,18,Some_Problems,1940,2,Yes,4,36,No_credit,1
221,1,Have Account,30,No_Problems,3656,5,No,4,49,Dept_Stores,2
222,1,Have Account,24,No_Problems,4679,4,No,3,35,Other_Bank,2
223,1,Have Account,27,No_Problems,8613,3,No,2,27,Other_Bank,2
224,1,No Account,18,Paid_Up,2659,3,No,2,28,Other_Bank,1
225,1,Have Account,24,No_Problems,1516,3,No,1,43,Other_Bank,2
226,1,No Account,18,Paid_Up,4380,3,No,4,35,Other_Bank,1
227,1,Have Account,14,No_Problems,802,3,No,2,27,Other_Bank,2
228,1,Have Account,21,Paid_Up,1572,5,No,4,36,No_credit,1
229,1,Have Account,48,Some_Problems,3566,4,No,2,30,Other_Bank,1
230,1,Have Account,24,Paid_Up,1278,5,No,1,36,Other_Bank,1
231,1,Have Account,6,No_loan_history,426,5,No,4,39,Other_Bank,1
232,1,Have Account,39,Paid_Up,8588,5,No,2,45,Other_Bank,1
233,1,No Account,30,Paid_Up,3857,3,No,4,40,Other_Bank,1
234,0,Have Account,12,Paid_Up,685,4,No,3,25,No_credit,1
235,1,No Account,24,Paid_Up,1603,5,No,4,55,Other_Bank,1
236,1,Have Account,21,Paid_Up,2241,5,No,2,50,Other_Bank,2
237,1,No Account,24,Paid_Up,2384,5,No,4,64,No_credit,1
238,1,Have Account,4,Paid_Up,601,2,No,3,23,Other_Bank,1
239,1,Have Account,39,Paid_Up,2569,3,No,4,24,Other_Bank,1
240,1,Have Account,15,No_Problems,1316,3,No,2,47,Other_Bank,2
241,1,Have Account,60,Paid_Up,10366,5,No,4,42,Other_Bank,1
242,1,Have Account,18,Paid_Up,1568,3,No,4,24,Other_Bank,1
243,1,Have Account,18,No_Problems,629,5,No,3,32,No_credit,2
244,1,Have Account,6,Some_Problems,1750,5,No,4,45,No_credit,1
245,1,Have Account,24,Paid_Up,3488,4,No,4,23,Other_Bank,1
246,1,Have Account,18,No_Problems,1800,3,No,2,24,Other_Bank,2
247,1,Have Account,24,No_Problems,4151,3,No,3,35,Other_Bank,2
248,1,Have Account,15,Paid_Up,2631,3,No,2,25,Other_Bank,1
249,1,Have Account,21,Paid_Up,5248,3,No,3,26,Other_Bank,1
250,1,Have Account,18,No_Problems,2899,5,No,4,43,Other_Bank,1
251,1,Have Account,18,No_Problems,6204,3,No,4,44,Other_Bank,1
252,1,Have Account,12,Paid_Up,804,5,No,4,38,Other_Bank,1
253,1,Have Account,36,Paid_Up,3595,5,No,2,28,Other_Bank,1
254,1,Have Account,36,No_Problems,5711,5,No,2,38,Other_Bank,2
255,1,Have Account,15,Paid_Up,2687,4,No,4,26,Other_Bank,1
256,1,No Account,15,No_Problems,3643,5,No,4,27,Other_Bank,2
257,1,Have Account,10,No_Problems,2146,2,No,3,23,Other_Bank,2
258,1,No Account,10,Paid_Up,2315,5,No,4,52,Other_Bank,1
259,1,Have Account,5,Paid_Up,3448,4,No,4,74,Other_Bank,1
260,1,Have Account,15,Paid_Up,2708,2,No,3,27,No_credit,2
261,1,Have Account,11,No_Problems,1393,2,No,4,35,Other_Bank,2
262,1,Have Account,10,Paid_Up,1275,2,No,2,23,Other_Bank,1
263,1,Have Account,9,Paid_Up,1313,5,No,4,20,Other_Bank,1
264,1,Have Account,12,Paid_Up,1493,2,No,3,34,Other_Bank,1
265,1,Have Account,22,Paid_Up,2675,5,No,4,40,Other_Bank,1
266,1,Have Account,9,Paid_Up,2118,3,No,2,37,Other_Bank,1
267,1,Have Account,36,Paid_Up,909,5,No,4,36,Other_Bank,1
268,1,Have Account,12,No_Problems,1258,2,No,4,22,Other_Bank,2
269,1,Have Account,15,Some_Problems,1569,5,No,4,34,No_credit,1
270,1,Have Account,6,Paid_Up,1236,3,No,4,50,Other_Bank,1
271,1,Have Account,36,No_Problems,7678,4,No,4,40,Other_Bank,2
272,1,Have Account,6,Paid_Up,660,4,No,4,23,Other_Bank,1
273,1,Have Account,24,Paid_Up,2835,5,No,4,53,Other_Bank,1
274,1,Have Account,24,Paid_Up,2670,5,No,4,35,Other_Bank,1
275,1,Have Account,12,Some_Problems,3447,3,No,3,35,Other_Bank,1
276,1,Have Account,15,Paid_Up,3568,5,No,2,54,No_credit,1
277,1,Have Account,21,No_Problems,3652,4,No,3,27,Other_Bank,2
278,1,No Account,24,Paid_Up,3660,3,No,4,28,Other_Bank,1
279,1,Have Account,9,Paid_Up,1126,5,No,4,49,Other_Bank,1
280,1,Have Account,6,No_Problems,683,2,No,1,29,No_credit,1
281,1,Have Account,12,Paid_Up,2251,3,No,2,46,Other_Bank,1
282,1,Have Account,12,Paid_Up,4675,2,No,4,20,Other_Bank,1
283,1,Have Account,21,No_Problems,2353,3,No,4,47,Other_Bank,2
284,1,No Account,21,Paid_Up,3357,2,No,2,29,No_credit,1
285,1,Have Account,6,Paid_Up,672,1,No,4,54,Other_Bank,1
286,1,No Account,6,No_Problems,338,5,No,4,52,Other_Bank,2
287,1,Have Account,9,Paid_Up,2697,3,No,2,32,Other_Bank,1
288,1,Have Account,9,Paid_Up,2507,5,No,4,51,Other_Bank,1
289,1,Have Account,15,No_Problems,1478,3,No,3,33,No_credit,2
290,1,Have Account,12,No_Problems,3565,2,No,1,37,Other_Bank,2
291,1,Have Account,15,Paid_Up,2221,3,No,4,20,Other_Bank,1
292,1,Have Account,6,No_Problems,1898,3,No,2,34,Other_Bank,2
293,1,Have Account,6,No_Problems,1449,5,No,2,31,No_credit,2
294,1,Have Account,15,No_Problems,960,4,No,2,30,Other_Bank,2
295,1,Have Account,36,Paid_Up,8133,3,No,2,30,No_credit,1
296,1,Have Account,9,Paid_Up,2301,2,No,4,22,Other_Bank,1
297,1,Have Account,6,No_Problems,1743,3,No,2,34,Other_Bank,2
298,1,Have Account,12,Paid_Up,983,2,No,4,19,Other_Bank,1
299,1,Have Account,18,No_Problems,2320,1,No,3,34,Other_Bank,2
300,1,No Account,12,Some_Problems,339,5,No,1,45,No_credit,1
301,1,Have Account,24,Paid_Up,5152,4,No,2,25,No_credit,1
302,1,Have Account,24,Paid_Up,3749,2,No,4,26,Other_Bank,1
303,1,Have Account,9,No_Problems,3074,3,No,2,33,Other_Bank,2
304,0,Have Account,9,Paid_Up,745,3,No,2,28,Other_Bank,1
305,1,Have Account,24,Paid_Up,1469,5,No,4,41,Other_Bank,1
306,1,No Account,6,Paid_Up,1374,3,No,2,36,No_credit,1
307,1,Have Account,6,Some_Problems,783,3,Yes,2,26,Dept_Stores,1
308,1,No Account,21,Paid_Up,2606,2,No,4,28,Other_Bank,1
309,1,Have Account,54,No_loan_history,9436,3,No,2,39,Other_Bank,1
310,1,Have Account,12,No_Problems,930,5,No,4,65,Other_Bank,4
311,1,Have Account,48,No_Problems,2751,5,No,3,38,Other_Bank,2
312,1,Have Account,6,No_Problems,250,3,No,2,41,No_credit,2
313,1,Have Account,24,Paid_Up,1201,2,No,1,26,Other_Bank,1
314,1,No Account,6,Paid_Up,662,2,No,4,41,Other_Bank,1
315,1,Have Account,15,Paid_Up,1300,5,No,4,45,No_credit,1
316,1,Have Account,24,Some_Problems,1559,4,No,4,40,No_credit,1
317,1,Have Account,12,Paid_Up,3016,3,No,1,24,Other_Bank,1
318,1,Have Account,15,No_Problems,1360,3,No,2,31,Other_Bank,2
319,1,Have Account,6,No_loan_history,1204,3,No,1,35,No_credit,1
320,1,Have Account,10,Paid_Up,1597,3,No,2,40,Other_Bank,1
321,1,Have Account,12,Paid_Up,2073,3,Yes,2,28,Other_Bank,1
322,1,Have Account,11,Paid_Up,2142,5,No,2,28,Other_Bank,1
323,1,No Account,10,No_Problems,2132,2,Yes,3,27,Other_Bank,2
324,1,Have Account,10,Paid_Up,1546,3,No,2,31,Other_Bank,1
325,1,Have Account,24,No_Problems,1287,5,No,4,37,Other_Bank,2
326,1,Have Account,10,Paid_Up,1418,3,No,2,35,Other_Bank,1
327,1,Have Account,6,No_Problems,1343,5,No,4,46,Other_Bank,2
328,1,Have Account,18,Paid_Up,2662,4,No,3,32,Other_Bank,1
329,1,Have Account,18,No_Problems,6070,5,No,4,33,Other_Bank,2
330,1,Have Account,24,No_Problems,1927,3,No,2,33,Other_Bank,2
331,1,Have Account,18,No_Problems,2404,3,No,2,26,Other_Bank,2
332,1,Have Account,6,No_Problems,1554,4,No,2,24,Other_Bank,2
333,1,Have Account,22,Paid_Up,1283,4,No,4,25,Other_Bank,1
334,1,Have Account,24,No_Problems,717,5,No,4,54,Other_Bank,2
335,1,No Account,24,Paid_Up,1747,2,Yes,1,24,Other_Bank,1
336,1,No Account,9,No_Problems,1288,5,Yes,4,48,Other_Bank,2
337,1,No Account,10,No_Problems,1038,4,Yes,3,49,Other_Bank,2
338,1,Have Account,10,Paid_Up,2848,3,Yes,2,32,Other_Bank,1
339,1,Have Account,12,Paid_Up,1413,4,No,2,55,Other_Bank,1
340,1,Have Account,30,No_Problems,3077,5,No,2,40,Other_Bank,2
341,1,No Account,24,Some_Problems,3632,3,Yes,4,22,No_credit,1
342,1,Have Account,18,No_Problems,3229,1,No,4,38,Other_Bank,1
343,1,Have Account,9,Paid_Up,3577,3,Yes,2,26,Other_Bank,1
344,1,Have Account,12,No_Problems,682,4,No,3,51,Other_Bank,2
345,1,Have Account,10,Paid_Up,1924,3,No,4,38,Other_Bank,1
346,1,Have Account,10,Paid_Up,727,5,No,4,46,Other_Bank,1
347,1,Have Account,10,No_Problems,781,5,No,4,63,Other_Bank,2
348,1,No Account,12,No_Problems,2121,3,No,2,30,Other_Bank,2
349,1,Have Account,12,No_Problems,701,3,No,2,32,Other_Bank,2
350,1,Have Account,10,No_Problems,2069,3,No,1,26,Other_Bank,2
351,1,Have Account,24,Paid_Up,1525,4,No,3,34,Other_Bank,1
352,1,Have Account,48,No_Problems,7629,5,No,2,46,No_credit,2
353,0,No Account,12,No_Problems,3499,3,Yes,2,29,Other_Bank,2
354,1,Have Account,6,Paid_Up,1346,5,No,4,42,No_credit,1
355,1,Have Account,36,No_Problems,10477,5,No,4,42,Other_Bank,2
356,1,No Account,24,Paid_Up,2924,3,Yes,4,63,No_credit,1
357,1,Have Account,10,No_Problems,1231,5,No,4,32,Other_Bank,2
358,1,Have Account,18,Paid_Up,1961,5,No,2,23,Other_Bank,1
359,1,Have Account,15,No_Problems,5045,5,No,4,59,Other_Bank,1
360,1,Have Account,12,No_Problems,1255,5,No,4,61,Other_Bank,2
361,1,No Account,12,Paid_Up,1858,2,No,1,22,Other_Bank,1
362,1,Have Account,6,No_Problems,1221,3,No,2,27,Other_Bank,2
363,1,Have Account,9,Paid_Up,1388,3,No,2,26,Other_Bank,1
364,1,Have Account,12,Paid_Up,2279,3,No,4,37,Other_Bank,1
365,1,Have Account,12,No_loan_history,2759,5,No,4,34,Other_Bank,2
366,1,Have Account,24,Paid_Up,1258,3,No,3,57,Other_Bank,1
367,1,Have Account,12,No_loan_history,1410,3,No,2,31,Other_Bank,1
368,1,No Account,15,Paid_Up,1403,3,No,4,28,Other_Bank,1
369,1,No Account,24,Paid_Up,3021,3,No,2,24,Other_Bank,1
